epoch,loss
0,0.0646746170453
1,0.0446829507717
2,0.0331165887335
3,0.0270784138011
4,0.0242660230092
5,0.0226076054105
6,0.0213913980505
7,0.0204595670551
8,0.0196612098272
9,0.0190333213512
10,0.0184816883636
11,0.0180176895559
12,0.0176012524034
13,0.0172364728055
14,0.0169126343574
15,0.0166266389459
16,0.0163551859387
17,0.0161324831301
18,0.0158900970502
19,0.0156960703846
20,0.015493417914
21,0.0153176009229
22,0.0151486246286
23,0.0150090258409
24,0.0148599403343
25,0.0147042763778
